x-axis,1,2,3
second,Volt,Volt,Volt
-15.20000E-03,+2.47500002E+00,+1.62500000E+00,+1.84999990E+00
-15.15000E-03,+2.53750002E+00,+1.75000000E+00,+2.03749990E+00
-15.10000E-03,+2.53750002E+00,+1.87500000E+00,+2.16249990E+00
-15.05000E-03,+2.50625002E+00,+2.00000000E+00,+2.31874990E+00
-15.00000E-03,+2.56875002E+00,+2.12500000E+00,+2.44374990E+00
-14.95000E-03,+2.50625002E+00,+2.28125000E+00,+2.53749990E+00
-14.90000E-03,+2.50625002E+00,+2.37500000E+00,+2.66249990E+00
-14.85000E-03,+2.50625002E+00,+2.46875000E+00,+2.72499990E+00
-14.80000E-03,+2.47500002E+00,+2.62500000E+00,+2.81874990E+00
-14.75000E-03,+2.56875002E+00,+2.71875000E+00,+2.84999990E+00
-14.70000E-03,+2.53750002E+00,+2.75000000E+00,+2.91249990E+00
-14.65000E-03,+2.53750002E+00,+2.78125000E+00,+2.94374990E+00
-14.60000E-03,+2.53750002E+00,+2.81250000E+00,+2.91249990E+00
-14.55000E-03,+2.53750002E+00,+2.84375000E+00,+2.91249990E+00
-14.50000E-03,+2.53750002E+00,+2.87500000E+00,+2.91249990E+00
-14.45000E-03,+2.50625002E+00,+2.87500000E+00,+2.84999990E+00
-14.40000E-03,+2.50625002E+00,+2.84375000E+00,+2.81874990E+00
-14.35000E-03,+2.56875002E+00,+2.84375000E+00,+2.78749990E+00
-14.30000E-03,+2.53750002E+00,+2.78125000E+00,+2.75624990E+00
-14.25000E-03,+2.53750002E+00,+2.78125000E+00,+2.72499990E+00
-14.20000E-03,+2.50625002E+00,+2.71875000E+00,+2.66249990E+00
-14.15000E-03,+2.47500002E+00,+2.68750000E+00,+2.63124990E+00
-14.10000E-03,+2.53750002E+00,+2.65625000E+00,+2.59999990E+00
-14.05000E-03,+2.47500002E+00,+2.62500000E+00,+2.53749990E+00
-14.00000E-03,+2.53750002E+00,+2.56250000E+00,+2.50624990E+00
-13.95000E-03,+2.50625002E+00,+2.56250000E+00,+2.47499990E+00
-13.90000E-03,+2.50625002E+00,+2.53125000E+00,+2.50624990E+00
-13.85000E-03,+2.50625002E+00,+2.50000000E+00,+2.47499990E+00
-13.80000E-03,+2.50625002E+00,+2.53125000E+00,+2.44374990E+00
-13.75000E-03,+2.50625002E+00,+2.46875000E+00,+2.47499990E+00
-13.70000E-03,+2.50625002E+00,+2.50000000E+00,+2.47499990E+00
-13.65000E-03,+2.47500002E+00,+2.46875000E+00,+2.47499990E+00
-13.60000E-03,+2.44375002E+00,+2.46875000E+00,+2.47499990E+00
